race,Characteristic,Total,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over","Median income Value",Mean income,Income per household member
Hispanic (any race),15 to 24 years,1351.00,49.00,48.00,70.00,79.00,86.00,81.00,84.00,82.00,95.00,89.00,85.00,53.00,44.00,69.00,27.00,31.00,37.00,45.00,21.00,16.00,26.00,10.00,14.00,12.00,5.00,22.00,0.00,11.00,9.00,5.00,4.00,2.00,5.00,0.00,3.00,0.00,0.00,2.00,0.00,2.00,29.00,45080.00,60726.00,19475.00
Hispanic (any race),25 to 34 years,3608.00,125.00,106.00,156.00,213.00,214.00,221.00,231.00,239.00,262.00,155.00,154.00,140.00,130.00,108.00,122.00,124.00,111.00,87.00,63.00,53.00,75.00,49.00,43.00,41.00,43.00,40.00,31.00,28.00,35.00,20.00,21.00,17.00,16.00,9.00,13.00,9.00,14.00,2.00,6.00,0.00,81.00,45876.00,63812.00,18816.00
Hispanic (any race),35 to 44 years,3999.00,119.00,96.00,172.00,213.00,224.00,228.00,288.00,228.00,232.00,191.00,152.00,170.00,155.00,120.00,127.00,131.00,111.00,95.00,101.00,79.00,73.00,60.00,51.00,51.00,45.00,47.00,31.00,30.00,29.00,31.00,35.00,14.00,22.00,27.00,22.00,17.00,16.00,11.00,8.00,3.00,144.00,50245.00,68578.00,17794.00
Hispanic (any race),45 to 54 years,3331.00,108.00,81.00,111.00,138.00,159.00,146.00,161.00,161.00,210.00,155.00,161.00,116.00,136.00,112.00,125.00,80.00,117.00,76.00,91.00,83.00,72.00,53.00,65.00,42.00,70.00,30.00,34.00,39.00,40.00,29.00,33.00,25.00,24.00,24.00,13.00,11.00,11.00,8.00,16.00,7.00,158.00,58103.00,77593.00,22981.00
Hispanic (any race),55 to 64 years,2402.00,85.00,106.00,126.00,126.00,130.00,97.00,132.00,122.00,131.00,104.00,98.00,95.00,81.00,83.00,81.00,80.00,60.00,56.00,44.00,40.00,45.00,37.00,33.00,39.00,44.00,22.00,20.00,15.00,32.00,7.00,13.00,15.00,17.00,6.00,12.00,13.00,12.00,8.00,8.00,8.00,119.00,51996.00,73369.00,25869.00
Hispanic (any race),65 to 74 years,1404.00,62.00,97.00,187.00,96.00,98.00,71.00,65.00,71.00,51.00,63.00,49.00,47.00,47.00,25.00,34.00,46.00,18.00,29.00,22.00,17.00,25.00,16.00,11.00,12.00,8.00,12.00,10.00,14.00,13.00,10.00,9.00,4.00,6.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00,38.00,36704.00,55698.00,23233.00
Hispanic (any race),75 years and over,819.00,36.00,85.00,110.00,117.00,82.00,47.00,43.00,51.00,26.00,24.00,21.00,24.00,19.00,7.00,18.00,12.00,6.00,13.00,9.00,14.00,6.00,6.00,4.00,6.00,5.00,1.00,2.00,0.00,4.00,4.00,2.00,2.00,3.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,6.00,23797.00,37473.00,18478.00
Hispanic (any race),Mean age of householder,45.01,46.18,51.27,50.73,47.55,46.18,43.72,43.24,43.96,42.23,43.61,43.29,44.21,44.34,42.24,44.87,44.33,42.77,43.36,44.22,45.03,43.48,45.19,44.70,45.04,46.09,41.07,45.24,43.96,45.94,44.91,45.02,46.25,45.83,45.85,43.40,46.11,45.29,46.56,48.05,52.25,46.12,(X),(X),(X)
Asian alone,15 to 24 years,391.00,46.00,10.00,23.00,22.00,15.00,17.00,24.00,15.00,15.00,9.00,20.00,8.00,8.00,17.00,15.00,13.00,4.00,13.00,15.00,9.00,3.00,1.00,6.00,2.00,2.00,5.00,8.00,3.00,1.00,2.00,4.00,0.00,0.00,7.00,2.00,4.00,6.00,2.00,0.00,0.00,10.00,47071.00,61467.00,22264.00
Asian alone,25 to 34 years,1359.00,67.00,20.00,24.00,35.00,41.00,35.00,36.00,17.00,38.00,43.00,54.00,35.00,65.00,52.00,60.00,55.00,34.00,36.00,58.00,29.00,41.00,33.00,34.00,21.00,26.00,15.00,19.00,22.00,27.00,14.00,27.00,16.00,7.00,14.00,21.00,10.00,10.00,10.00,14.00,17.00,126.00,80236.00,97320.00,36630.00
Asian alone,35 to 44 years,1497.00,25.00,15.00,22.00,12.00,37.00,25.00,29.00,57.00,30.00,28.00,66.00,39.00,29.00,38.00,54.00,50.00,52.00,30.00,51.00,46.00,45.00,25.00,40.00,29.00,32.00,24.00,32.00,18.00,25.00,23.00,24.00,21.00,17.00,20.00,27.00,19.00,23.00,10.00,9.00,8.00,289.00,100881.00,134761.00,38720.00
Asian alone,45 to 54 years,1158.00,17.00,11.00,24.00,18.00,30.00,10.00,38.00,41.00,35.00,30.00,32.00,33.00,38.00,31.00,32.00,36.00,40.00,36.00,25.00,11.00,33.00,13.00,24.00,19.00,20.00,14.00,19.00,11.00,33.00,31.00,38.00,19.00,22.00,27.00,8.00,18.00,14.00,8.00,15.00,11.00,193.00,101576.00,130388.00,37847.00
Asian alone,55 to 64 years,935.00,33.00,4.00,20.00,22.00,40.00,31.00,35.00,33.00,17.00,20.00,32.00,35.00,21.00,23.00,28.00,29.00,30.00,11.00,25.00,13.00,25.00,19.00,22.00,12.00,18.00,15.00,24.00,19.00,11.00,18.00,6.00,8.00,18.00,13.00,4.00,17.00,14.00,13.00,9.00,7.00,140.00,90511.00,120868.00,43406.00
Asian alone,65 to 74 years,624.00,24.00,27.00,45.00,20.00,39.00,33.00,26.00,25.00,27.00,30.00,12.00,15.00,5.00,7.00,23.00,15.00,19.00,23.00,13.00,14.00,10.00,19.00,10.00,11.00,6.00,6.00,12.00,2.00,10.00,9.00,4.00,15.00,6.00,3.00,8.00,0.00,0.00,4.00,0.00,7.00,40.00,56490.00,78190.00,34575.00
Asian alone,75 years and over,428.00,23.00,44.00,52.00,46.00,37.00,38.00,22.00,17.00,8.00,13.00,13.00,10.00,11.00,9.00,6.00,8.00,5.00,1.00,8.00,3.00,5.00,3.00,5.00,0.00,1.00,4.00,3.00,0.00,1.00,4.00,7.00,2.00,2.00,3.00,0.00,2.00,0.00,2.00,0.00,1.00,7.00,26283.00,45551.00,25479.00
Asian alone,Mean age of householder,46.65,43.33,58.74,56.12,53.18,52.65,53.49,48.97,49.26,46.71,48.31,43.34,47.71,43.11,42.48,43.68,43.94,47.12,43.73,41.94,42.92,44.68,47.37,44.73,45.34,44.48,45.90,46.18,44.31,45.13,48.33,44.04,47.85,49.48,44.05,42.23,45.95,42.51,47.21,44.41,44.76,45.46,(X),(X),(X)
Black alone,15 to 24 years,1017.00,121.00,83.00,66.00,67.00,85.00,94.00,71.00,38.00,56.00,72.00,37.00,33.00,22.00,27.00,17.00,8.00,18.00,0.00,11.00,8.00,5.00,2.00,10.00,4.00,6.00,2.00,3.00,0.00,0.00,3.00,2.00,0.00,0.00,6.00,6.00,0.00,4.00,3.00,3.00,3.00,21.00,29319.00,43421.00,18447.00
Black alone,25 to 34 years,3043.00,247.00,166.00,187.00,179.00,224.00,173.00,224.00,183.00,133.00,148.00,128.00,136.00,151.00,96.00,69.00,70.00,55.00,32.00,58.00,52.00,37.00,24.00,35.00,16.00,31.00,35.00,17.00,3.00,7.00,25.00,13.00,7.00,3.00,5.00,4.00,14.00,2.00,2.00,0.00,2.00,49.00,38229.00,50545.00,19457.00
Black alone,35 to 44 years,3097.00,167.00,138.00,164.00,134.00,173.00,175.00,185.00,189.00,117.00,151.00,118.00,120.00,117.00,110.00,90.00,73.00,64.00,75.00,98.00,57.00,73.00,47.00,41.00,35.00,37.00,30.00,43.00,10.00,16.00,27.00,26.00,11.00,21.00,19.00,4.00,13.00,9.00,8.00,5.00,4.00,105.00,48047.00,65325.00,21247.00
Black alone,45 to 54 years,3229.00,155.00,175.00,191.00,134.00,158.00,154.00,154.00,138.00,212.00,147.00,118.00,93.00,109.00,112.00,95.00,100.00,58.00,84.00,66.00,60.00,64.00,46.00,66.00,29.00,64.00,30.00,34.00,19.00,30.00,21.00,35.00,36.00,21.00,11.00,14.00,17.00,8.00,13.00,12.00,7.00,141.00,49897.00,74222.00,27739.00
Black alone,55 to 64 years,3181.00,212.00,230.00,269.00,178.00,227.00,161.00,178.00,137.00,146.00,104.00,125.00,82.00,91.00,89.00,107.00,114.00,88.00,67.00,46.00,43.00,46.00,48.00,40.00,26.00,43.00,16.00,24.00,13.00,22.00,14.00,15.00,23.00,7.00,10.00,10.00,18.00,4.00,13.00,7.00,7.00,84.00,39979.00,58356.00,25532.00
Black alone,65 to 74 years,2058.00,101.00,171.00,252.00,233.00,167.00,138.00,109.00,109.00,77.00,72.00,78.00,58.00,62.00,43.00,34.00,34.00,22.00,28.00,29.00,16.00,21.00,25.00,17.00,12.00,10.00,11.00,17.00,14.00,4.00,6.00,8.00,9.00,7.00,6.00,2.00,6.00,6.00,4.00,0.00,0.00,40.00,28679.00,46049.00,23843.00
Black alone,75 years and over,1108.00,66.00,96.00,189.00,153.00,91.00,70.00,56.00,55.00,50.00,36.00,27.00,21.00,25.00,26.00,22.00,17.00,12.00,8.00,15.00,6.00,7.00,4.00,5.00,7.00,4.00,3.00,4.00,3.00,2.00,8.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,11.00,22417.00,36904.00,19760.00
Black alone,Mean age of householder,48.60,45.93,51.05,54.20,53.54,49.21,47.86,46.60,48.01,48.22,45.15,47.79,45.18,46.16,47.20,48.47,49.30,47.82,49.71,46.61,45.75,47.15,49.62,46.92,48.41,47.32,45.85,48.50,54.96,50.29,45.73,47.26,50.88,49.60,46.82,45.91,48.38,46.47,51.49,45.69,46.43,47.45,(X),(X),(X)
White alone,15 to 24 years,4487.00,225.00,135.00,225.00,253.00,252.00,291.00,260.00,347.00,275.00,292.00,264.00,221.00,156.00,187.00,135.00,105.00,111.00,94.00,90.00,49.00,64.00,57.00,46.00,33.00,22.00,33.00,19.00,18.00,26.00,16.00,14.00,8.00,16.00,9.00,6.00,7.00,5.00,6.00,9.00,6.00,103.00,44588.00,58631.00,23568.00
White alone,25 to 34 years,14920.00,362.00,258.00,379.00,464.00,579.00,642.00,688.00,728.00,806.00,652.00,675.00,570.00,602.00,561.00,559.00,571.00,602.00,454.00,399.00,328.00,414.00,303.00,326.00,284.00,307.00,209.00,225.00,172.00,165.00,132.00,138.00,94.00,100.00,117.00,68.00,75.00,96.00,47.00,55.00,58.00,654.00,65389.00,80679.00,28874.00
White alone,35 to 44 years,16155.00,344.00,269.00,431.00,423.00,470.00,535.00,615.00,595.00,666.00,605.00,587.00,573.00,596.00,528.00,478.00,516.00,516.00,458.00,472.00,432.00,514.00,348.00,360.00,316.00,365.00,287.00,243.00,255.00,230.00,190.00,236.00,184.00,178.00,162.00,152.00,145.00,124.00,85.00,95.00,68.00,1507.00,78093.00,100673.00,29667.00
White alone,45 to 54 years,17794.00,458.00,371.00,497.00,394.00,481.00,517.00,572.00,656.00,636.00,585.00,634.00,505.00,630.00,498.00,595.00,568.00,528.00,435.00,490.00,470.00,534.00,379.00,395.00,392.00,341.00,315.00,297.00,243.00,250.00,210.00,303.00,214.00,218.00,204.00,203.00,155.00,165.00,134.00,164.00,96.00,2061.00,82289.00,109130.00,37528.00
White alone,55 to 64 years,19040.00,629.00,584.00,772.00,693.00,724.00,698.00,693.00,689.00,731.00,751.00,731.00,614.00,668.00,603.00,544.00,549.00,533.00,443.00,522.00,449.00,450.00,325.00,388.00,304.00,342.00,255.00,261.00,225.00,243.00,181.00,238.00,168.00,239.00,164.00,154.00,133.00,113.00,124.00,116.00,113.00,1885.00,69387.00,95658.00,43227.00
White alone,65 to 74 years,15185.00,309.00,459.00,930.00,802.00,956.00,914.00,820.00,751.00,691.00,669.00,665.00,561.00,521.00,435.00,425.00,422.00,317.00,285.00,309.00,300.00,307.00,230.00,258.00,163.00,176.00,187.00,157.00,148.00,156.00,111.00,110.00,130.00,93.00,85.00,75.00,75.00,87.00,80.00,78.00,53.00,885.00,52219.00,76340.00,40274.00
White alone,75 years and over,11820.00,332.00,468.00,1145.00,1342.00,1210.00,1008.00,885.00,719.00,524.00,469.00,541.00,377.00,346.00,209.00,275.00,227.00,173.00,141.00,120.00,147.00,74.00,96.00,79.00,70.00,94.00,51.00,57.00,27.00,35.00,41.00,45.00,30.00,51.00,40.00,31.00,33.00,24.00,17.00,17.00,11.00,236.00,32203.00,47978.00,29872.00
White alone,Mean age of householder,52.23,51.74,56.67,59.61,59.88,58.27,56.01,54.64,52.45,51.05,51.48,51.97,51.02,50.94,49.24,50.45,49.91,48.32,48.65,49.20,50.68,48.43,49.31,49.32,48.39,49.18,49.22,49.48,49.02,49.71,49.92,49.97,50.86,51.19,49.87,50.72,50.68,49.75,51.88,51.50,50.76,51.20,(X),(X),(X)
All races,15 to 24 years,6238.00,410.00,251.00,339.00,373.00,377.00,423.00,369.00,425.00,377.00,393.00,335.00,280.00,195.00,237.00,173.00,129.00,147.00,113.00,119.00,68.00,77.00,59.00,63.00,43.00,29.00,47.00,30.00,22.00,28.00,22.00,20.00,13.00,18.00,23.00,13.00,10.00,14.00,11.00,11.00,8.00,142.00,41655.00,56301,22684.00
All races,25 to 34 years,20109.00,713.00,463.00,614.00,732.00,888.00,899.00,987.00,974.00,1026.00,868.00,894.00,788.00,852.00,734.00,713.00,713.00,713.00,548.00,534.00,432.00,508.00,361.00,411.00,326.00,374.00,264.00,268.00,210.00,203.00,173.00,183.00,119.00,118.00,136.00,95.00,99.00,108.00,66.00,72.00,78.00,851.00,60932.00,76661,27767.00
All races,35 to 44 years,21500.00,558.00,436.00,635.00,595.00,712.00,763.00,871.00,869.00,843.00,816.00,804.00,764.00,776.00,700.00,652.00,671.00,651.00,578.00,649.00,549.00,654.00,423.00,449.00,395.00,445.00,353.00,335.00,293.00,281.00,245.00,298.00,220.00,222.00,209.00,187.00,182.00,160.00,112.00,111.00,81.00,1955.00,74481.00,97569,29087.00
All races,45 to 54 years,22808.00,665.00,587.00,744.00,562.00,706.00,698.00,788.00,877.00,906.00,805.00,807.00,650.00,802.00,664.00,737.00,715.00,634.00,571.00,596.00,550.00,646.00,448.00,500.00,448.00,432.00,369.00,354.00,280.00,320.00,268.00,380.00,273.00,268.00,246.00,225.00,189.00,187.00,156.00,199.00,116.00,2440.00,77213.00,104415,35970.00
All races,55 to 64 years,23770.00,908.00,847.00,1109.00,929.00,1022.00,919.00,935.00,883.00,929.00,903.00,917.00,746.00,795.00,727.00,696.00,715.00,668.00,525.00,602.00,512.00,530.00,399.00,463.00,348.00,413.00,290.00,315.00,261.00,283.00,217.00,264.00,202.00,272.00,190.00,170.00,172.00,136.00,151.00,133.00,127.00,2148.00,65239.00,90949,40403.00
All races,65 to 74 years,18243.00,458.00,676.00,1271.00,1087.00,1180.00,1107.00,984.00,904.00,812.00,779.00,770.00,653.00,600.00,501.00,490.00,477.00,365.00,341.00,356.00,332.00,342.00,278.00,286.00,188.00,194.00,206.00,188.00,168.00,173.00,127.00,126.00,156.00,107.00,94.00,85.00,81.00,93.00,91.00,78.00,60.00,981.00,49072.00,72600,37838.00
All races,75 years and over,13555.00,426.00,618.00,1412.00,1560.00,1360.00,1130.00,985.00,795.00,594.00,524.00,592.00,416.00,385.00,247.00,313.00,257.00,193.00,151.00,145.00,156.00,86.00,103.00,89.00,81.00,105.00,58.00,66.00,30.00,39.00,54.00,53.00,33.00,58.00,46.00,32.00,35.00,24.00,21.00,17.00,11.00,257.00,31313.00,46939,28680.00
All races,Mean age of householder,51.00,50.00,55.00,58.00,58.00,56.00,54.00,53.00,51.00,50.00,50.00,51.00,50.00,50.00,49.00,50.00,49.00,48.00,48.00,48.00,50.00,48.00,49.00,49.00,48.00,49.00,49.00,49.00,49.00,49.00,49.00,49.00,50.00,51.00,49.00,50.00,50.00,49.00,51.00,51.00,50.00,50.00,(X),(X),(X)
