Year,Diseases of the heart,Malignant neoplasms (cancer),Cerebrovascular diseases,Chronic lower respiratory diseases,Accidents (unintentional injuries),Diabetes mellitus,Influenza and pneumonia,Alzheimer's disease,"Nephritis, nephrotic syndrome and nephrosis",Septicemia,Intentional self-harm (suicide),Chronic liver disease and cirrhosis,Essential hypertension and hypertensive renal disease,Parkinson's disease,Assault (homicide)
1958,563.6,192.0,183.0,10.5,63.6,21.4,47.4,(NA),13.2,1.0,12.4,12.7,13.0,(NA),4.9
1959,552.1,191.6,179.0,11.0,63.2,21.3,44.3,(NA),11.2,1.1,12.3,12.9,12.3,(NA),5.0
1960,559.0,193.9,177.9,12.5,63.1,22.5,53.7,(NA),10.6,1.2,12.5,13.3,11.3,(NA),5.2
1961,545.3,193.4,173.1,12.6,60.6,22.1,43.4,(NA),10.0,1.2,12.2,13.3,10.7,(NA),5.2
1962,556.9,193.3,174.0,14.2,62.9,22.6,47.1,(NA),9.6,1.3,12.8,13.8,10.8,(NA),5.4
1963,563.4,194.7,173.9,16.5,64.0,23.1,55.6,(NA),9.2,1.5,13.0,14.0,10.8,(NA),5.4
1964,543.3,193.6,167.0,16.3,64.1,22.5,45.4,(NA),8.9,1.5,12.7,14.2,10.2,(NA),5.7
1965,542.5,195.6,166.4,18.3,65.8,22.9,46.8,(NA),8.3,1.5,13.0,14.9,9.5,(NA),6.1
1966,541.2,196.5,165.8,19.2,67.6,23.6,47.9,(NA),7.9,1.6,12.7,15.9,9.1,(NA),6.5
1967,524.7,197.3,159.3,19.2,66.2,23.4,42.2,(NA),7.3,1.6,12.5,16.3,8.7,(NA),7.5
1968,531.0,198.8,162.5,20.7,65.5,25.3,52.8,(NA),6.1,1.7,12.4,16.9,6.7,(NA),8.1
1969,516.8,198.5,155.4,20.9,64.9,25.1,47.9,(NA),6.0,1.7,12.7,17.1,6.1,(NA),8.3
1970,492.7,198.6,147.7,21.3,62.2,24.3,41.7,(NA),5.5,2.0,13.1,17.8,5.7,(NA),9.0
1971,492.9,199.3,147.6,21.8,60.3,23.9,38.4,(NA),5.2,2.2,13.1,17.8,5.3,(NA),9.8
1972,490.2,200.3,147.3,22.8,60.2,23.7,41.3,(NA),5.2,2.4,13.3,18.0,5.2,(NA),10.0
1973,482.0,200.0,145.2,23.6,59.3,23.0,41.2,(NA),5.0,2.6,13.1,18.1,4.9,(NA),10.2
1974,458.8,201.5,136.8,23.2,52.7,22.1,35.5,(NA),4.7,3.0,13.2,17.9,4.4,(NA),10.5
1975,431.2,200.1,123.5,23.7,50.8,20.3,34.9,(NA),4.7,3.1,13.6,16.7,3.9,(NA),10.2
1976,426.9,202.5,117.4,24.9,48.7,19.5,38.8,(NA),4.9,3.5,13.2,16.4,3.7,(NA),9.2
1977,413.7,203.5,110.4,24.7,48.8,18.2,31.0,(NA),4.8,3.8,13.7,15.8,3.4,(NA),9.2
1978,409.9,204.9,103.7,26.3,48.9,18.3,34.5,(NA),4.8,4.2,12.9,15.2,3.2,(NA),9.2
1979,401.6,204.0,97.1,25.5,46.5,17.5,26.1,(NA),8.6,4.3,12.6,14.8,3.2,(NA),9.9
1980,412.1,207.9,96.4,28.3,46.4,18.1,31.4,(NA),9.1,5.0,12.2,15.1,3.5,(NA),10.5
1981,397.0,206.4,89.5,29.0,43.4,17.6,30.0,0.9,9.1,5.4,12.3,14.2,3.3,(NA),10.1
1982,389.0,208.3,84.2,29.1,40.1,17.2,26.5,1.3,9.4,5.9,12.5,13.2,3.3,(NA),9.4
1983,388.9,209.1,81.2,31.6,39.1,17.6,29.8,2.2,9.6,6.7,12.4,12.8,3.3,(NA),8.4
1984,378.8,210.8,78.7,32.4,38.8,17.2,30.6,3.1,10.0,7.4,12.6,12.7,3.3,(NA),8.1
1985,375.0,211.3,76.6,34.5,38.5,17.4,34.5,4.1,10.4,8.3,12.5,12.3,3.3,(NA),8.0
1986,365.1,211.5,73.1,34.8,38.6,17.2,34.8,4.6,10.4,9.0,13.0,11.8,3.3,(NA),8.6
1987,355.9,211.7,71.6,35.0,38.2,17.4,33.8,5.5,10.4,9.3,12.8,11.7,3.4,(NA),8.3
1988,352.5,212.5,70.6,36.5,38.9,18.0,37.3,5.8,10.4,9.7,12.5,11.6,3.5,(NA),8.5
1989,332.0,214.2,66.9,36.6,37.7,20.5,35.9,6.1,9.6,8.8,12.3,11.6,3.6,(NA),8.8
1990,321.8,216.0,65.3,37.2,36.3,20.7,36.8,6.3,9.3,8.6,12.5,11.1,3.7,(NA),9.4
1991,312.5,215.2,62.9,37.9,34.7,20.7,34.7,6.3,9.3,8.6,12.3,10.7,3.8,(NA),9.9
1992,304.0,213.5,61.5,37.7,33.2,20.7,32.8,6.3,9.4,8.4,12.0,10.4,4.0,(NA),9.4
1993,308.1,213.5,62.7,40.7,34.2,21.9,35.0,7.1,9.7,8.6,12.1,10.2,4.4,(NA),9.6
1994,297.5,211.7,62.6,40.3,34.2,22.6,33.6,7.7,9.4,8.3,11.9,10.1,4.5,(NA),9.1
1995,293.4,209.9,63.1,40.1,34.4,23.2,33.4,8.4,9.5,8.4,11.8,9.9,4.8,(NA),8.3
1996,285.7,206.7,62.5,40.6,34.5,23.8,32.9,8.5,9.6,8.4,11.5,9.7,4.9,(NA),7.5
1997,277.7,203.4,61.1,41.1,34.2,23.7,33.3,8.7,9.8,8.6,11.2,9.5,5.1,(NA),7.0
1998,267.4,202.1,62.8,43.8,35.6,24.2,24.2,8.6,9.8,8.9,11.1,9.6,5.3,(NA),6.4
1999,266.5,200.8,61.6,45.4,35.3,25.0,23.5,16.5,13.0,11.3,10.5,9.6,6.2,5.4,6.0
2000,257.6,199.6,60.9,44.2,34.9,25.0,23.7,18.1,13.5,11.3,10.4,9.5,6.5,5.7,5.9
2001,247.8,196.0,57.9,43.7,35.7,25.3,22.0,19.1,14.0,11.4,10.7,9.5,6.8,5.9,7.1
2002,240.8,193.5,56.2,43.5,36.9,25.4,22.6,20.2,14.2,11.7,10.9,9.4,7.0,5.9,6.1
2003,232.3,190.1,53.5,43.3,37.3,25.3,22.0,21.4,14.4,11.6,10.8,9.3,7.4,6.2,6.0
2004,217.0,185.8,50.0,41.1,37.7,24.5,19.8,21.8,14.2,11.2,10.9,9.0,7.7,6.1,5.9
2005,211.1,183.8,46.6,43.2,39.1,24.6,20.3,22.9,14.3,11.2,10.9,9.0,8.0,6.4,6.1
2006,200.2,180.7,43.6,40.5,39.8,23.3,17.8,22.6,14.5,11.0,10.9,8.8,7.5,6.3,6.2
2007,190.9,178.4,42.2,40.8,40.0,22.5,16.2,22.7,14.5,11.0,11.3,9.1,7.4,6.4,6.1
2008 \1,186.7,175.5,40.6,44.0,38.6,21.8,17.0,24.4,14.8,11.1,11.6,9.2,7.7,6.4,5.9
